ID_Cliente,Direccion_Original,Direccion_Procesada,Latitud,Longitud,API_Elegida,Estado,Error,Observaciones
101,Cerrito 628,"Cerrito 628, CABA, Ciudad Autónoma de Buenos Aires, Argentina",-34.60107793333333,-58.38315586666666,centroide_3apis,exitoso,OK,OK
102,Balcarce 50,"Balcarce 50, CABA, Ciudad Autónoma de Buenos Aires, Argentina",-34.608106400000004,-58.3703821,centroide_3apis,fallido,ERROR_CALLE_NO_ENCONTRADA,ERROR_CALLE_NO_ENCONTRADA
103,Av. del Libertador 1473,"Av. del Libertador 1473, CABA, Ciudad Autónoma de Buenos Aires, Argentina",-34.58395003333333,-58.392921066666666,centroide_3apis,exitoso,OK,OK
104,Av. Corrientes 1530,"Av. Corrientes 1530, CABA, Ciudad Autónoma de Buenos Aires, Argentina",,,,fallido,ERROR_CIUDAD_INCORRECTA,ERROR_CIUDAD_INCORRECTA
105,Av. Figueroa Alcorta 3415,"Av. Figueroa Alcorta 3415, CABA, Ciudad Autónoma de Buenos Aires, Argentina",-34.57689173333333,-58.403409966666665,centroide_3apis,fallido,ERROR_CALLE_NO_ENCONTRADA,ERROR_CALLE_NO_ENCONTRADA
106,Av. del Libertador 1902,"Av. del Libertador 1902, CABA, Ciudad Autónoma de Buenos Aires, Argentina",-34.582619066666666,-58.40110553333333,centroide_3apis,exitoso,OK,OK
107,Santa Fe 581,"Santa Fe 581, Rosario, Santa Fe, Argentina",-32.947607866666665,-60.63084646666667,centroide_3apis,fallido,ERROR_CALLE_NO_ENCONTRADA,ERROR_CALLE_NO_ENCONTRADA
108,Buenos Aires 711,"Buenos Aires 711, Rosario, Santa Fe, Argentina",-32.947117,-60.6322771,centroide_3apis,fallido,ERROR_CALLE_NO_ENCONTRADA,ERROR_CALLE_NO_ENCONTRADA
109,Av. Pellegrini 2202,"Av. Pellegrini 2202, Rosario, Santa Fe, Argentina",-32.95387255,-60.656592100000005,centroide_2apis,fallido,ERROR_CALLE_NO_ENCONTRADA,ERROR_CALLE_NO_ENCONTRADA
110,Caseros 549,"Caseros 549, Salta, Salta, Argentina",-24.78983576666667,-65.4105663,centroide_3apis,exitoso,OK,OK
